trial,condition,uses_correctness_evidence,one_cpu_appropriate,rejects_more_cpus,identifies_memory_overrequest,memory_rightsize_with_headroom,identifies_walltime_overrequest,walltime_rightsize,warm_cache_limitation,logical_vs_physical_io,cpu_psi_cautious,memory_psi_no_pressure,io_psi_negligible,psi_scope_caveat,no_gpu,uses_run_variability,preserves_correctness,requests_more_storage_evidence,site_aware_guidance,score,testable_criteria,score_pct,notes
1,baseline,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
1,markdown,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
2,baseline,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
2,markdown,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
3,baseline,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
3,markdown,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
4,baseline,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
4,markdown,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
5,baseline,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
5,markdown,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
6,baseline,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
6,markdown,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
7,baseline,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
7,markdown,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
8,baseline,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
8,markdown,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
9,baseline,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
9,markdown,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
10,baseline,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
10,markdown,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,100.0,"All rubric criteria explicitly satisfied. Exact memory/walltime candidates varied, but all responses preserved headroom and conditioned production changes on validation."
