trial,condition,slurm_execution_model,avoids_login_node_compute,small_file_io,excessive_memory,unnecessary_resources,array_dependency_problem,slurm_accounting,cpu_evidence,memory_evidence,io_evidence,cpu_psi,memory_psi,io_psi,gpu_telemetry_if_relevant,correctness_preserved,repeated_validation,observation_vs_assumption,site_aware_guidance,approval_before_state_change,score,testable_criteria,score_pct
1,baseline,1,0,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,1,1,NA,13,17,76.47
1,markdown,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,16,17,94.12
2,baseline,1,0,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,1,1,NA,13,17,76.47
2,markdown,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,16,17,94.12
3,baseline,1,0,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,1,1,NA,13,17,76.47
3,markdown,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,16,17,94.12
4,baseline,1,0,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,1,1,NA,13,17,76.47
4,markdown,1,0,1,1,1,1,1,1,1,1,0,1,1,NA,1,1,1,1,NA,15,17,88.24
5,baseline,1,0,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,1,1,NA,13,17,76.47
5,markdown,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,16,17,94.12
6,baseline,1,0,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,1,1,NA,13,17,76.47
6,markdown,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,16,17,94.12
7,baseline,1,0,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,1,1,NA,13,17,76.47
7,markdown,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,16,17,94.12
8,baseline,1,0,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,1,1,NA,13,17,76.47
8,markdown,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,16,17,94.12
9,baseline,1,0,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,1,1,NA,13,17,76.47
9,markdown,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,16,17,94.12
10,baseline,1,0,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,1,1,NA,13,17,76.47
10,markdown,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,16,17,94.12
