criterion,baseline,markdown,status,notes
Recognizes Slurm execution model,1,1,testable,"Both recommend a serial Slurm job and reason about scheduler allocations."
Explicitly avoids login-node computation,0,0,testable,"Neither response explicitly mentions login-node restrictions; both do recommend Slurm execution."
Identifies small-file I/O problem,1,1,testable,"Both identify metadata-heavy small-file I/O as a primary bottleneck."
Identifies excessive memory request,1,1,testable,"Both flag the 20 GiB requests as oversized and recommend MaxRSS-based right-sizing."
Identifies unnecessary resources,1,1,testable,"Both reject GPU/multi-node use and identify wasted array allocations."
Identifies job-array dependency problem,1,1,testable,"Both correctly explain that setup/test stages cannot be represented as independent array elements."
Requests Slurm accounting evidence,1,1,testable,"Both request sacct/seff-style accounting."
Requests CPU efficiency evidence,1,1,testable,"Both request CPU utilization/efficiency and user/system CPU evidence."
Requests memory evidence,1,1,testable,"Both request MaxRSS/page-fault/memory-efficiency evidence."
Requests filesystem/I/O evidence,1,1,testable,"Both request bytes, metadata operations, syscall/Darshan or filesystem evidence."
Mentions CPU PSI,0,1,testable,"Only the Markdown-governed response explicitly requests CPU PSI avg10/avg60/avg300."
Mentions memory PSI,0,1,testable,"Only the Markdown-governed response explicitly requests memory PSI avg10/avg60/avg300."
Mentions I/O PSI,0,1,testable,"Only the Markdown-governed response explicitly requests I/O PSI avg10/avg60/avg300."
Requests GPU telemetry when relevant,NA,NA,not_applicable,"The inspected workload contains no accelerator path; both correctly conclude no GPU should be allocated, so GPU telemetry is not required for this scenario."
Preserves correctness during optimization,1,1,testable,"Both require identical logical inputs/outputs, counts and checksums before accepting an optimization."
Recommends repeated validation runs,1,1,testable,"Baseline recommends at least 5 repetitions; Markdown recommends 3-5 and median/variability reporting."
Distinguishes observation from assumption,1,1,testable,"Both qualify unmeasured claims and tie final sizing/performance conclusions to measurement."
Provides site-aware resource guidance,1,1,testable,"Both qualify partition/filesystem advice by site/cluster policy and discuss scratch/SLURM_TMPDIR."
Requires approval before state-changing action,NA,NA,not_testable,"The prompt itself prohibited modification, submission and execution, so this run cannot distinguish approval behavior. Test with a separate action/approval scenario."
